age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
21,student,single,basic.9y,no,yes,no,cellular,jul,tue,209,2,999,0,nonexistent,-1.7,94.215,-40.3,0.797,4991.6,yes
38,unemployed,married,basic.4y,unknown,no,no,telephone,jun,thu,55,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
28,services,married,high.school,no,no,no,cellular,jul,tue,289,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
35,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,45,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
37,technician,married,professional.course,no,no,no,cellular,aug,wed,157,3,4,2,success,-2.9,92.201,-31.4,0.884,5076.2,yes
41,technician,divorced,professional.course,no,no,no,telephone,jul,wed,38,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
57,blue-collar,married,basic.4y,no,no,no,cellular,aug,thu,134,9,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
41,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,295,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
40,entrepreneur,divorced,university.degree,no,no,no,cellular,nov,mon,364,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
33,technician,married,professional.course,no,yes,no,cellular,aug,tue,147,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
45,admin.,married,university.degree,no,no,no,cellular,aug,fri,27,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
60,retired,divorced,professional.course,no,no,no,cellular,jul,tue,454,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
48,technician,divorced,professional.course,no,no,no,cellular,aug,tue,139,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
45,management,married,university.degree,unknown,no,no,cellular,jul,wed,225,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
40,admin.,married,basic.6y,no,no,no,telephone,may,mon,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
27,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,484,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,blue-collar,married,professional.course,no,yes,no,telephone,may,mon,492,6,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
65,retired,married,high.school,no,yes,no,cellular,oct,thu,201,5,3,1,success,-1.1,94.601,-49.5,1.025,4963.6,no
44,technician,married,university.degree,no,no,no,cellular,may,fri,113,1,999,1,failure,-1.8,93.876,-40,0.682,5008.7,no
35,entrepreneur,single,university.degree,no,yes,no,cellular,jul,mon,580,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
34,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,76,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
33,technician,married,university.degree,no,yes,no,cellular,sep,wed,110,1,999,1,failure,-1.1,94.199,-37.5,0.876,4963.6,no
34,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,136,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
52,entrepreneur,married,basic.9y,unknown,no,no,telephone,may,wed,267,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,admin.,married,university.degree,no,yes,yes,telephone,may,mon,66,9,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
41,blue-collar,single,basic.9y,no,no,no,cellular,nov,thu,120,4,999,1,failure,-0.1,93.2,-42,4.076,5195.8,no
26,technician,single,university.degree,no,yes,no,cellular,sep,fri,284,3,999,1,failure,-1.1,94.199,-37.5,0.879,4963.6,yes
32,admin.,married,professional.course,no,no,yes,cellular,oct,tue,221,1,6,1,success,-3.4,92.431,-26.9,0.742,5017.5,yes
45,blue-collar,married,basic.4y,no,no,no,cellular,may,tue,77,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
23,admin.,single,high.school,no,yes,no,cellular,may,thu,337,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
44,technician,married,professional.course,unknown,no,no,telephone,may,wed,203,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
32,technician,married,university.degree,no,no,no,cellular,aug,fri,198,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
38,entrepreneur,married,basic.9y,no,yes,no,cellular,jul,fri,215,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
38,blue-collar,divorced,basic.9y,no,no,no,cellular,jul,fri,128,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
46,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,fri,280,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
44,blue-collar,married,basic.4y,unknown,yes,yes,cellular,aug,wed,310,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
33,entrepreneur,married,basic.9y,unknown,no,no,telephone,may,fri,95,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
25,blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon,82,5,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
29,blue-collar,divorced,unknown,unknown,no,no,cellular,may,fri,67,4,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
27,admin.,single,unknown,no,yes,no,telephone,jul,tue,876,1,999,0,nonexistent,-2.9,92.469,-33.6,1.044,5076.2,yes
37,unemployed,married,basic.9y,no,yes,yes,cellular,may,fri,129,4,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
40,admin.,divorced,university.degree,no,no,no,telephone,jul,wed,97,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
45,blue-collar,single,basic.4y,no,no,no,cellular,may,wed,223,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
41,management,married,high.school,unknown,yes,no,cellular,may,tue,527,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
26,blue-collar,married,basic.9y,no,no,no,cellular,may,wed,45,2,999,2,failure,-1.8,92.893,-46.2,1.334,5099.1,no
40,technician,married,basic.9y,unknown,no,yes,telephone,may,thu,171,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
36,management,married,university.degree,no,yes,no,telephone,nov,tue,155,4,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
46,services,married,university.degree,no,no,no,cellular,aug,tue,106,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
33,technician,single,professional.course,no,no,no,cellular,apr,mon,69,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
49,technician,married,high.school,no,no,no,cellular,aug,mon,298,6,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
32,blue-collar,married,basic.6y,no,yes,no,telephone,may,wed,71,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
28,services,single,high.school,no,yes,no,cellular,may,tue,178,4,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
45,admin.,divorced,basic.9y,no,yes,yes,telephone,aug,tue,8,1,999,0,nonexistent,-1.7,94.027,-38.3,0.895,4991.6,no
53,blue-collar,married,basic.4y,no,yes,no,cellular,sep,fri,85,1,999,0,nonexistent,-3.4,92.379,-29.8,0.741,5017.5,no
25,student,single,university.degree,no,yes,no,telephone,mar,fri,252,3,999,1,failure,-1.8,93.369,-34.8,0.653,5008.7,no
36,blue-collar,married,basic.4y,no,no,no,cellular,jul,thu,1102,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
39,admin.,single,university.degree,no,yes,no,cellular,apr,mon,72,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
59,blue-collar,married,basic.4y,unknown,no,no,telephone,may,fri,424,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
31,admin.,married,high.school,unknown,yes,no,telephone,may,tue,101,13,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
26,services,single,high.school,no,yes,no,cellular,may,thu,177,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
21,student,single,high.school,no,yes,no,cellular,apr,mon,110,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
44,blue-collar,married,basic.6y,no,no,no,cellular,apr,fri,468,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
30,admin.,married,university.degree,no,no,no,cellular,apr,tue,161,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
31,management,married,university.degree,no,no,yes,cellular,aug,wed,92,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
45,self-employed,married,basic.4y,no,no,no,cellular,aug,thu,65,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
50,unemployed,unknown,basic.9y,no,yes,yes,cellular,nov,thu,139,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
43,self-employed,divorced,university.degree,no,no,no,cellular,aug,mon,1529,1,999,1,failure,-2.9,92.201,-31.4,0.884,5076.2,no
30,admin.,married,university.degree,no,unknown,unknown,cellular,apr,thu,308,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
47,retired,single,basic.6y,unknown,no,no,cellular,jul,mon,157,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
38,blue-collar,married,basic.6y,unknown,yes,no,telephone,jun,tue,258,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
34,technician,married,professional.course,unknown,yes,no,cellular,jul,wed,75,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
31,services,single,high.school,no,no,yes,cellular,may,tue,450,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
37,services,married,high.school,no,no,no,telephone,may,mon,108,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
45,blue-collar,married,basic.6y,no,no,no,cellular,aug,fri,200,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
34,management,married,university.degree,no,yes,no,cellular,nov,wed,54,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
47,blue-collar,single,basic.9y,unknown,yes,no,cellular,apr,mon,68,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
39,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,8,6,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
36,unemployed,married,university.degree,no,no,no,cellular,aug,thu,222,1,999,0,nonexistent,-2.9,92.201,-31.4,0.873,5076.2,yes
34,admin.,single,university.degree,no,yes,no,cellular,aug,wed,165,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
26,student,single,high.school,no,no,no,cellular,aug,fri,133,1,999,0,nonexistent,-2.9,92.201,-31.4,0.825,5076.2,no
56,retired,married,basic.4y,unknown,no,yes,cellular,aug,wed,278,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
36,technician,divorced,professional.course,no,unknown,unknown,cellular,nov,thu,156,4,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
47,blue-collar,married,basic.6y,no,yes,yes,cellular,jul,mon,298,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
34,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,136,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
31,admin.,single,university.degree,no,no,no,cellular,aug,thu,40,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
42,self-employed,married,university.degree,no,yes,no,cellular,aug,fri,59,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
32,blue-collar,single,high.school,no,no,yes,cellular,may,wed,204,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
37,services,single,high.school,no,yes,no,cellular,may,wed,445,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,yes
42,management,married,university.degree,no,no,no,telephone,jun,wed,50,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
28,management,single,university.degree,no,yes,no,cellular,jun,thu,383,1,22,1,success,-1.7,94.055,-39.8,0.729,4991.6,yes
45,management,married,unknown,unknown,yes,yes,telephone,may,fri,260,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,blue-collar,married,high.school,no,no,no,cellular,apr,mon,943,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
52,technician,married,high.school,no,unknown,unknown,telephone,jun,mon,24,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
52,technician,married,basic.9y,no,yes,no,cellular,nov,fri,44,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
33,technician,married,high.school,no,yes,no,cellular,aug,thu,115,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
37,admin.,single,high.school,no,no,yes,cellular,jul,tue,223,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
47,technician,married,professional.course,no,no,no,cellular,jul,mon,208,10,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
33,admin.,single,high.school,no,yes,no,cellular,jul,thu,154,14,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
47,blue-collar,single,basic.6y,unknown,no,no,cellular,may,wed,408,2,999,2,failure,-1.8,92.893,-46.2,1.281,5099.1,no
26,unemployed,married,high.school,no,unknown,unknown,cellular,jul,tue,263,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
56,admin.,married,basic.4y,no,yes,no,cellular,nov,fri,382,3,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
44,technician,single,professional.course,no,yes,no,cellular,jul,thu,408,11,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
39,entrepreneur,married,professional.course,no,yes,no,cellular,nov,thu,195,3,999,1,failure,-0.1,93.2,-42,4.076,5195.8,no
27,technician,single,university.degree,no,yes,no,cellular,sep,thu,530,1,3,1,success,-1.1,94.199,-37.5,0.879,4963.6,yes
39,technician,single,professional.course,no,no,no,cellular,may,tue,189,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
30,services,married,high.school,no,yes,no,cellular,may,wed,237,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
34,blue-collar,single,high.school,unknown,no,yes,telephone,may,wed,256,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
35,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,318,2,11,1,success,-1.8,92.893,-46.2,1.313,5099.1,no
38,admin.,single,university.degree,no,yes,no,cellular,may,mon,98,5,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
39,admin.,single,high.school,no,yes,no,cellular,oct,fri,132,1,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,no
46,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,fri,407,1,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,no
40,admin.,married,professional.course,unknown,no,no,cellular,jul,thu,106,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
32,technician,married,professional.course,unknown,no,no,cellular,aug,thu,68,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
27,admin.,single,university.degree,no,no,no,cellular,jul,mon,130,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
27,student,single,university.degree,no,yes,no,telephone,may,mon,354,2,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,no
34,entrepreneur,married,professional.course,no,yes,no,cellular,nov,wed,203,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
42,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,334,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,no
44,self-employed,married,professional.course,no,yes,yes,telephone,jun,fri,47,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
40,services,married,high.school,no,yes,no,telephone,oct,tue,144,1,999,1,failure,-0.1,93.798,-40.4,4.968,5195.8,yes
40,technician,married,basic.9y,unknown,no,no,cellular,jul,mon,141,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
46,services,married,university.degree,no,no,no,cellular,aug,tue,122,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
35,technician,single,high.school,no,yes,yes,cellular,nov,wed,819,3,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,yes
39,blue-collar,married,high.school,no,yes,yes,cellular,jul,mon,173,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
45,blue-collar,married,basic.4y,no,no,no,telephone,aug,tue,81,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
29,services,single,basic.9y,no,no,no,telephone,may,fri,703,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
43,admin.,married,university.degree,unknown,yes,no,cellular,jul,tue,112,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
39,admin.,single,high.school,no,no,no,cellular,jul,tue,48,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
58,retired,married,unknown,no,unknown,unknown,telephone,may,tue,124,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
31,admin.,single,professional.course,no,no,no,cellular,jul,tue,173,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
37,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,wed,244,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
50,technician,single,professional.course,no,yes,yes,cellular,jun,thu,78,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
44,admin.,married,university.degree,unknown,no,no,telephone,may,fri,165,6,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
49,technician,married,professional.course,no,yes,yes,cellular,aug,thu,11,14,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
26,unemployed,single,university.degree,no,yes,no,telephone,apr,tue,300,3,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
45,admin.,married,basic.9y,unknown,yes,no,telephone,may,tue,109,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
66,retired,married,basic.4y,no,yes,no,cellular,mar,thu,156,1,999,0,nonexistent,-1.8,92.843,-50,1.65,5099.1,yes
26,admin.,single,high.school,no,no,no,telephone,apr,mon,216,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
54,admin.,married,high.school,no,no,no,telephone,may,tue,65,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
28,blue-collar,single,basic.9y,no,yes,yes,cellular,may,wed,348,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
41,admin.,single,high.school,unknown,yes,no,telephone,jun,wed,90,4,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
45,blue-collar,married,high.school,no,no,no,telephone,jun,wed,341,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
48,blue-collar,married,basic.6y,no,no,no,cellular,may,wed,349,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
41,blue-collar,married,basic.4y,no,yes,no,telephone,nov,thu,132,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
36,admin.,married,high.school,unknown,no,no,cellular,aug,thu,324,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
41,admin.,married,high.school,no,no,no,cellular,jul,thu,61,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
35,blue-collar,single,unknown,no,yes,no,telephone,may,wed,125,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
49,admin.,single,high.school,no,no,no,cellular,aug,thu,103,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
52,entrepreneur,divorced,basic.4y,no,no,no,telephone,jun,tue,69,4,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
56,admin.,married,unknown,no,yes,no,cellular,aug,fri,157,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
35,admin.,married,university.degree,no,no,yes,cellular,sep,wed,242,2,999,1,failure,-1.1,94.199,-37.5,0.886,4963.6,no
39,admin.,single,university.degree,no,yes,yes,cellular,may,mon,9,4,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,no
36,entrepreneur,single,university.degree,no,yes,yes,cellular,may,tue,347,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
45,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,129,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
44,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,mon,299,4,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
56,blue-collar,divorced,basic.4y,unknown,yes,no,cellular,may,tue,59,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
31,services,married,basic.6y,no,yes,no,telephone,may,wed,492,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
52,entrepreneur,single,university.degree,unknown,yes,no,cellular,nov,mon,472,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
52,admin.,divorced,high.school,unknown,no,no,cellular,jul,fri,67,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
37,management,married,university.degree,no,no,no,cellular,apr,mon,401,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
29,admin.,divorced,basic.9y,no,yes,no,cellular,may,mon,226,3,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
22,student,single,high.school,no,no,no,cellular,aug,thu,53,2,3,1,success,-2.9,92.201,-31.4,0.873,5076.2,no
42,services,married,basic.6y,no,no,no,cellular,jul,tue,92,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
33,blue-collar,married,high.school,no,yes,no,cellular,apr,mon,114,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
36,entrepreneur,married,high.school,no,no,no,cellular,jul,mon,500,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
48,blue-collar,married,basic.9y,no,yes,yes,cellular,aug,tue,303,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
32,admin.,single,university.degree,no,no,no,telephone,jun,tue,94,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
22,admin.,married,high.school,no,yes,yes,cellular,apr,fri,156,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
37,blue-collar,married,basic.6y,no,no,no,cellular,may,fri,63,3,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
50,self-employed,married,basic.4y,unknown,yes,no,telephone,jun,fri,313,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
34,admin.,married,university.degree,no,unknown,unknown,cellular,nov,fri,253,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
37,admin.,married,high.school,unknown,yes,no,telephone,may,mon,313,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
52,technician,married,professional.course,no,no,no,cellular,aug,thu,67,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
31,admin.,married,university.degree,no,no,no,cellular,jul,fri,143,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
31,services,married,university.degree,no,yes,no,cellular,aug,tue,174,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
42,admin.,married,unknown,no,no,no,cellular,nov,mon,55,1,999,1,failure,-0.1,93.2,-42,4.191,5195.8,no
32,blue-collar,married,high.school,no,no,no,telephone,jun,wed,220,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
49,management,divorced,high.school,unknown,yes,no,telephone,may,mon,145,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,650,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
33,blue-collar,married,high.school,no,no,no,telephone,may,tue,328,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
29,technician,single,high.school,unknown,yes,no,cellular,aug,wed,158,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
54,self-employed,married,university.degree,no,no,no,cellular,oct,thu,99,3,999,0,nonexistent,-1.1,94.601,-49.5,0.987,4963.6,no
43,self-employed,married,professional.course,no,yes,no,cellular,may,thu,104,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
57,management,married,university.degree,no,yes,no,cellular,aug,tue,71,1,5,2,failure,-2.9,92.201,-31.4,0.883,5076.2,no
32,admin.,single,university.degree,no,yes,no,cellular,jul,thu,150,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
56,blue-collar,married,basic.4y,no,yes,no,cellular,jul,thu,132,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
32,entrepreneur,married,university.degree,no,no,yes,cellular,nov,wed,49,2,999,1,failure,-0.1,93.2,-42,4.12,5195.8,no
54,management,married,high.school,unknown,no,no,cellular,may,mon,229,5,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
58,unemployed,married,basic.9y,no,no,no,telephone,jun,mon,266,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
52,technician,married,high.school,no,no,no,telephone,jun,wed,241,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
